Large Matrix with Large Number Multiplicationdimensions,sparseness,Traditional Multiplication + Long Multiplication - time taken (milli seconds),Traditional Multiplication + Gauss - time taken (milli seconds),Traditional Multiplication + Karatsuba - time taken (milli seconds),Strassens Multiplication + Long Multiplication - time taken (milli seconds),Strassens Multiplication + Gauss - time taken (milli seconds),Strassens Multiplication + Karatsuba - time taken (milli seconds)
1,10,0,3,1,0,0,0
2,10,0,1,0,1,0,2
4,10,1,1,3,2,5,4
8,10,0,11,11,9,29,30
16,10,7,70,76,54,216,162
32,10,30,212,231,355,875,912
1,25,0,0,0,0,0,0
2,25,0,0,0,1,0,0
4,25,0,1,1,1,4,2
8,25,2,8,8,8,17,19
16,25,9,60,62,62,156,147
32,25,89,482,541,597,1237,1288
1,50,0,0,0,0,0,0
2,50,0,1,0,0,0,1
4,50,1,2,2,2,3,3
8,50,4,16,16,10,23,26
16,50,33,113,121,89,177,175
32,50,247,860,1005,707,1356,1379
1,75,0,0,0,1,0,0
2,75,0,0,0,0,1,0
4,75,1,3,3,1,3,4
8,75,5,18,20,11,26,28
16,75,49,148,194,114,183,186
32,75,416,1208,1357,780,1463,1520
1,100,0,0,0,0,0,1
2,100,1,0,0,0,0,1
4,100,1,3,3,2,3,4
8,100,9,21,27,14,26,27
16,100,70,178,203,106,197,206
32,100,564,1363,1593,746,1404,1430
